resText, resCreatedOn,resCreatedBy
"That casual nod that says \"I acknowledge your presence but am not going to actually say hello to you.\"","2014-11-07 17:17:29",3
"Brokeback Mountain","2014-11-07 17:18:43",3
"Sharks with lasers","2014-11-07 17:20:32",3
"Dropping trou in the middle of the street","2014-11-07 17:23:40",3
"Faking an orgasm","2014-11-07 17:25:32",3
"The war on drugs","2014-11-07 17:26:54",3
"Another disappointing superhero movie ","2014-11-07 17:27:57",3
"Hide the pickle","2014-11-07 17:28:52",3
"James Cameron","2014-11-07 17:29:59",3
"Ron Howard","2014-11-07 17:30:49",3
"Getting high at a same sex wedding","2014-11-07 17:34:25",3
"NAFTA","2014-11-07 17:37:59",3
"Ironic facial hair","2014-11-07 17:39:56",3
"DIY haircuts","2014-11-07 17:41:11",3
"Self loathing, depression, and anxiety ","2014-11-07 17:44:01",3
"Tasteless humor","2014-11-07 17:45:16",3
"Really big bonfires","2014-11-07 17:48:26",3
"Medical marijuana","2014-11-07 17:50:20",3
"Reinventing the wheel","2014-11-07 17:53:29",3
"Underutilized talent","2014-11-07 17:54:29",3
"Television evangelists","2014-11-07 17:57:42",3
"Recycling in Portland","2014-11-07 17:58:29",3
"Recycling in Portland","2014-11-07 17:58:29",3
"Piercings, tattoos, and dyed hair","2014-11-07 18:00:55",3
"Another sexual conquest","2014-11-07 18:02:05",3
"Catholic guilt","2014-11-07 18:04:42",3
"Subprime mortgages","2014-11-07 18:08:03",3
"Katrina evacuees","2014-11-07 18:09:18",3
"Gingers","2014-11-07 18:10:18",3
"Stupid yuppies","2014-11-07 18:11:27",3
"Hipster fads","2014-11-07 18:12:49",3
"Overcompensation","2014-11-07 18:14:19",3
"Celebrity rehab vacation packages","2014-11-07 18:18:10",3
"Non-traditional family structures","2014-11-07 18:20:28",3
"Overly flamboyant realtors ","2014-11-07 18:22:28",3
"Ignoring the drought","2014-11-07 18:23:14",3
"Semi-transparent undergarments","2014-11-07 18:24:48",3
"Food pictures","2014-11-07 18:26:09",3
"Free crack","2014-11-07 18:27:12",3
"Deception and other sales tactics","2014-11-07 18:28:06",3
"Crossing lines","2014-11-07 18:29:06",3
"Illiterate 9th graders","2014-11-07 18:30:49",3
"The sad state of public education","2014-11-07 18:31:54",3
"Democrats in Texas","2014-11-07 18:32:50",3
"The sexual appetite of a politician","2014-11-07 18:34:08",3
"The adventures of NFL superstars","2014-11-07 18:37:12",3
"Ray Rice","2014-11-07 18:38:09",3
"Jerry Jones","2014-11-07 18:39:08",3
"Microtransactions","2014-11-07 18:40:14",3
"Dinosaur fish","2014-11-07 18:46:16",3
"Toenail goop","2014-11-07 18:47:07",3
"Moist panties","2014-11-07 18:48:02",3
"Bra trees","2014-11-07 18:49:17",3
"Veal with a side of baby-cow tears","2014-11-07 18:51:13",3
"Eccentric VC people","2014-11-07 18:53:31",3
"Non-prof egos","2014-11-07 18:54:33",3
"Disrupting class with exceptional flatulence","2014-11-07 19:02:15",3
"The far left","2014-11-09 21:25:15",3
"The far right","2014-11-09 21:27:05",3
"Third party candidates","2014-11-09 21:37:42",3
"Latino voters","2014-11-09 21:41:36",3
"The lesser of two evils","2014-11-09 21:48:05",3
"Fundamentalist Christians","2014-11-09 21:50:57",3
"Scientology","2014-11-09 21:59:24",3
"Buddhist bullshit","2014-11-09 22:25:19",3
"Hip brunch lines","2014-11-13 14:08:00",3
"Happy little trees","2014-11-13 14:25:45",3
"Asian tourists","2014-11-13 14:27:18",3
"Vitamin supplements","2014-11-13 14:28:31",3
"That girl from summercamp","2014-11-13 14:30:30",3
"Discretionary spending","2014-11-13 14:31:35",3
"Fiscal oversight","2014-11-13 14:34:05",3
"Donald Trump","2014-11-13 14:35:26",3
"Fart jokes","2014-11-13 14:36:36",3
"Campaign spending","2014-11-13 14:37:17",3
"Bootstrapped startups","2014-11-13 14:39:02",3
"Walking around with a kettlebell","2014-11-13 14:44:33",3
"PIZZA!!! Do a PIZZA!!!","2014-11-13 14:46:48",3
"Sneezing panda","2014-11-13 14:48:05",3
"Charlie the biting toddler","2014-11-13 14:49:19",3
"Antisemetic imagery","2014-11-13 14:51:13",3
"Ham wallets","2014-11-13 15:00:21",3
"Leg warmers","2014-11-13 15:02:11",3
"Organ donors","2014-11-13 15:40:16",3
"John Boehner's Boner","2014-11-16 20:46:23",3
"A visit from Satan himself","2014-11-18 22:14:40",3
"Selling your soul to learn how to play guitar","2014-11-18 22:25:38",3
"Wikipedia","2014-11-18 22:31:24",3
"Jesus H. Christ","2014-11-19 01:25:48",3
"Illegal immigration","2014-11-23 15:57:00",3
"Poisoned Halloween candy","2014-11-23 15:57:59",3
"Giving up smoking for the third time this year","2014-11-23 15:59:01",3
"Stupid puns","2014-11-23 15:59:45",3
"Getting drunk on eggnog","2014-11-23 16:07:32",3
"Being alone during the holidays... again","2014-11-23 16:11:05",3
"Holiday weight gain","2014-11-23 17:04:30",3
"Family drama","2014-11-23 17:07:24",3
"Your mother's cooking","2014-11-23 17:09:08",3
"Food poisoning","2014-11-23 17:10:51",3
